CODIGO;DESCRICAO;CODIGO TOP MANAGER;CATEGORIA;FAMILIA;NOMENCLATURA;;;;;;;;
GT1-6KD1;Inversor fotovoltaico modelo GT1-6KD1;95918;PRODUTO;INVERSOR - GT1;GT1-6KD1;;;;;;;;
GT1-6K-D;INVERSOR ON-GRID MONOFASICO 2MPPT, 220V, COR BRANCO, LIVOLTEK, MODELO GT1-6K-D;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-6K -DS;INVERSOR FOTOVOLTAICO GT1-6K-DS;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-5KD2R11008;INVERSOR ON-GRID MONOFÁSICO 5kW 220V 2 MPPT GT1-5KD2R11008;104937;PRODUTO;INVERSOR - GT1;GT1-5KD2R11008;;;;;;;;
GT1-5KD1R11001;INVERSOR ON-GRID LIVOLTEK GT1-5KD1;;PRODUTO;INVERSOR - GT1;GT1-5KD1;;;;;;;;
GT1-5K-D;INVERSOR ON-GRID MONOFASICO 2MPPT, 220V, COR BRANCO, LIVOLTEK, MODELO GT1-5K-D;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-3K-SSW00101;INVERSOR FOTOVOLTAICO MARCA LIVOLTEK, MODELO GT1-3K-SS, MONOFASICO GT1-3K-SSW00101;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-3K-S;"INVERSOR FOTOVOLTAICO, MODELO GT1-3K-S, MONOFASICO ""ON-GRID"", POTENCIA 3.000 W, 230 V, 50/60 HZ";;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-3K6D1R11001;INVERSOR ON-GRID LIVOLTEK GT1-3K6D1;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-3K3S1R11001;INVERSOR FOTOVOLTAICO MODELO GT1-3K3S1;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-3K3S1;INVERSOR FOTOVOLTAICO MODELO GT1-3K3S1;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-2K2S1R11001;INVERSOR ON-GRID LIVOLTEK GT1-2K2S1;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-10KT2R11004;INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT1 -10KT2R11004;105396;PRODUTO;INVERSOR - GT1;GT1 -10KT2R11004;;;;;;;;
GT1-10KT2R11003;INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT1-10KT2R11003;;PRODUTO;INVERSOR - GT1;GT1-10KT2R11003;;;;;;;;
GT1-10KT1R11101;INVERSORES PARA SISTEMAS FOTOVOLTAICOS STRING, PARA REDE MONOFASICA, COM POTENCIA NOMINAL DE SAIDA DE 10.000W A 40 GRAUS;;PRODUTO;INVERSOR;;;;;;;;;
GT1-10K-DW00101;INVERSOR FOTOVOLTAICO MARCA LIVOLTEK, MODELO GT1-10K-D, MONOFASICO;;PRODUTO;INVERSOR - GT1;;;;;;;;;
GT1-10K-D;INVERSOR FOTOVOLTAICO MARCA LIVOLTEK, MODELO GT1-10K-D, MONOFASICO;;PRODUTO;INVERSOR - GT1;;;;;;;;;
106170M;INVERSOR GT1 4-6 KW 220/230/240V IEC with Wi-Fi/ SPD II/CT/AC APS;106170;MATERIA-PRIMA;INVERSOR - GT1;GT1 4-6 KW (MATÉRIA-PRIMA);;;;;;;;
GF1-5K48S1R11003;INVERSOR FOTOVOLTAICO MODELO GF1-5K48S1;;PRODUTO;INVERSOR;;;;;;;;;
GF1-3K48L1R11003;INVERSOR FOTOVOLTAICO MODELO GF1-3K48L1;;PRODUTO;INVERSOR;;;;;;;;;
GF1-3K24S1R11001M;CAIXA DE ALUMINIO DE INVERSOR FOTOVOLTAICO MODELO GF1-3K;;MATERIA-PRIMA;INVERSOR GF1;CAIXA DE ALUMINIO DE INVERSOR FOTOVOLTAICO MODELO GF1-3K;;;;;;;;
EDP003l;Motor de Popa, (Model: EDP003l, 3.0 kW 3.0 kW, DC 36~60 V, Dimensões (LXBXH): 423mmX288.5mmX1140mm;100981;PRODUTO;MOTOR DE BARCO;Motor de Popa, (Model: EDP003l, 3.0 kW 3.0 kW, DC 36~60 V, Dimensões (LXBXH): 423mmX288.5mmX1140mm;;;;;;;;
DTSU2591R11001;MEDIDOR DE ENERGIA DIGITAL TRIFASICO SMART METER PARA CORRENTE ALTERNADA;;;DIVERSOS;MEDIDOR DE ENERGIA DIGITAL TRIFASICO SMART METER PARA CORRENTE ALTERNADA;;;;;;;;
D0300380E1EYW11001;D0301000E21 - CARREGADOR VEICULAR CC, POTENCIA NOMINAL DE 30KW, DIMENSOES 450 * 145 * 680 MM;;PRODUTO;CARREGADOR 30kW;D0301000E21 - CARREGADOR VEICULAR CC, POTENCIA NOMINAL DE 30KW, DIMENSOES 450 * 145 * 680 MM;;;;;;;;
CS00000082;GAS GLP ENVAZADO 20KG;;;DIVERSOS;GAS GLP ENVAZADO 20KG;;;;;;;;
C06010E2EAFGR11003;CARREGADOR VEICULAR | LIVOLTEK | CC 60KW | MC | 200A | 2XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS;;PRODUTO;CARREGADOR 40kW;CARREGADOR VEICULAR | LIVOLTEK | CC 60KW | MC | 200A | 2XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS;;;;;;;;
C04010E2EAFER11003;CARREGADOR VEICULAR | LIVOLTEK | CC 40KW | MC | 133A | 2XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS;;PRODUTO;CARREGADOR 40kW;CARREGADOR VEICULAR | LIVOLTEK | CC 40KW | MC | 133A | 2XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS;;;;;;;;
C03010E1EAFDR11003;"CARREGADOR VE LIVOLTEK CC MOTION COMPACT 30 KW; 400VAC;CABO 5M; 100 A; RFID; ETHERNET; 4G; CABO 1XCCS2";;PRODUTO;CARREGADOR 30kW;CARREGADOR CC MOTION COMPACT 30 KW;;;;;;;;
